,INVOICE_DATE,week_number_of_year,day_number_of_week,month_number_of_year,warehouse_name,product_segmentation,STOCK_CODE,Actual,Prediction
0,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LHISO46205L,1.0,1.6576142
1,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LHISO4620L,5.0,4.492243
2,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LITHCOMPCART,5.0,2.0030668
3,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LITHEP00050,1.0,1.6808878
4,2019-08-30,35,30,8,Waltham Abbey,low_demand_products,LITHEP050,1.0,3.2683012
5,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LLGO8090520L,1.0,1.5068353
6,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,LU5W3020L,2.0,2.0244627
7,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,PETRO-CANADASUPREMESYNTHETIC5W,1.0,1.095288
8,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,SWASH25,2.0,1.8085872
9,2019-08-30,35,30,8,Waltham Abbey,high_demand_products,WATER,2.0,2.1544647
10,2019-08-31,35,31,8,Barking,high_demand_products,LITHCOMP50,1.0,1.0296943
11,2019-08-31,35,31,8,Waltham Abbey,high_demand_products,LL10W40EE9205,2.0,1.5216187
12,2019-09-02,36,2,9,Barking,low_demand_products,105904,2.0,1.566401
13,2019-09-02,36,2,9,Barking,low_demand_products,148585,1.0,1.404835
14,2019-09-02,36,2,9,Barking,high_demand_products,148650,1.0,1.4767321
15,2019-09-02,36,2,9,Barking,high_demand_products,157103,1.0,1.2874572
16,2019-09-02,36,2,9,Barking,high_demand_products,166049,1.0,1.385538
17,2019-09-02,36,2,9,Barking,low_demand_products,174776,1.0,1.3093936
18,2019-09-02,36,2,9,Barking,low_demand_products,183878,1.0,1.4971505
19,2019-09-02,36,2,9,Barking,low_demand_products,A0064X5,1.0,2.0358732
20,2019-09-02,36,2,9,Barking,high_demand_products,COLLECTEMPTY,10.0,2.549588
21,2019-09-02,36,2,9,Barking,high_demand_products,EMPTY5,2.0,3.5911758
22,2019-09-02,36,2,9,Barking,high_demand_products,EP3CART,1.0,1.6152033
23,2019-09-02,36,2,9,Barking,high_demand_products,GD,9.0,11.563532
24,2019-09-02,36,2,9,Barking,high_demand_products,H008S795,2.0,3.4233863
25,2019-09-02,36,2,9,Barking,high_demand_products,H017D,2.0,3.6057444
26,2019-09-02,36,2,9,Barking,high_demand_products,LE10W4020L,2.0,1.6726241
27,2019-09-02,36,2,9,Barking,high_demand_products,LHISO4620L,1.0,1.8838027
28,2019-09-02,36,2,9,Barking,high_demand_products,LHISO68205L,1.0,1.360463
29,2019-09-02,36,2,9,Barking,high_demand_products,LITHCOMPCART,1.0,1.576346
30,2019-09-02,36,2,9,Barking,low_demand_products,LLFS263120L,1.0,1.050854
31,2019-09-02,36,2,9,Barking,high_demand_products,LLGO809044X5L,1.0,0.9010624
32,2019-09-02,36,2,9,Barking,high_demand_products,LLGOLS9020L,1.0,1.4566283
33,2019-09-02,36,2,9,Barking,high_demand_products,LLMC4TSS4X5L,1.0,1.7804679
34,2019-09-02,36,2,9,Barking,high_demand_products,LM15W40E720L,4.0,5.610234
35,2019-09-02,36,2,9,Barking,high_demand_products,LU5W30205L,1.0,0.99761754
36,2019-09-02,36,2,9,Barking,high_demand_products,PETRO-CANADASUPREMESYNTHETIC5W,1.0,1.0428705
37,2019-09-02,36,2,9,Barking,high_demand_products,SCAFF25,3.0,2.3088999
38,2019-09-02,36,2,9,Barking,high_demand_products,WATER,2.0,3.2680635
39,2019-09-02,36,2,9,Waltham Abbey,low_demand_products,BRAKECLNAEROS,4.0,1.3023019
40,2019-09-02,36,2,9,Waltham Abbey,high_demand_products,DE15P20,5.0,2.0427663
41,2019-09-02,36,2,9,Waltham Abbey,high_demand_products,LITHCOMP50,1.0,1.152729
42,2019-09-02,36,2,9,Waltham Abbey,high_demand_products,LITHCOMPCART,1.0,1.7379824
